dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,gosdt_acc_baseline,gosdt_acc_ablated,overlap_baseline,overlap_ablated
breast_cancer,nest15_depth2,radius_worst,0.956140350877193,0.956140350877193,0.9649122807017544,0.956140350877193,0.46153846153846156,0.45454545454545453
breast_cancer,nest15_depth3,perimeter_worst,0.956140350877193,0.9649122807017544,0.9385964912280702,0.9385964912280702,0.5454545454545454,0.7
breast_cancer,nest200_depth1,perimeter_worst,0.9824561403508771,0.9824561403508771,0.9473684210526315,0.9473684210526315,0.6,0.4444444444444444
breast_cancer,nest200_depth2,radius_worst,0.9649122807017544,0.9736842105263158,0.956140350877193,0.9298245614035088,0.5454545454545454,0.4444444444444444
breast_cancer,nest200_depth3,perimeter_worst,0.956140350877193,0.956140350877193,0.9298245614035088,0.9298245614035088,0.5555555555555556,0.75
breast_cancer,nest20_depth1,perimeter_worst,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.956140350877193,0.8,0.75
breast_cancer,nest20_depth2,radius_worst,0.956140350877193,0.9736842105263158,0.9649122807017544,0.9473684210526315,0.38461538461538464,0.4
breast_cancer,nest20_depth3,perimeter_worst,0.9649122807017544,0.9736842105263158,0.9385964912280702,0.9210526315789473,0.6666666666666666,0.6666666666666666
breast_cancer,nest25_depth1,perimeter_worst,0.9649122807017544,0.9649122807017544,0.9298245614035088,0.956140350877193,0.6666666666666666,0.6
breast_cancer,nest25_depth2,radius_worst,0.956140350877193,0.9736842105263158,0.9035087719298246,0.9385964912280702,0.6666666666666666,0.6
breast_cancer,nest25_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.9210526315789473,0.9210526315789473,0.6363636363636364,0.6363636363636364
breast_cancer,nest30_depth1,perimeter_worst,0.9736842105263158,0.956140350877193,0.9210526315789473,0.9385964912280702,0.7142857142857143,0.8333333333333334
breast_cancer,nest30_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9385964912280702,0.9385964912280702,0.5,0.6
breast_cancer,nest30_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.9122807017543859,0.9122807017543859,0.6363636363636364,0.5833333333333334
breast_cancer,nest35_depth1,perimeter_worst,0.956140350877193,0.9473684210526315,0.9210526315789473,0.9385964912280702,0.8333333333333334,1.0
breast_cancer,nest35_depth2,radius_worst,0.9649122807017544,0.9736842105263158,0.9210526315789473,0.9385964912280702,0.6666666666666666,0.5
breast_cancer,nest35_depth3,perimeter_worst,0.9649122807017544,0.9649122807017544,0.9298245614035088,0.9210526315789473,0.5833333333333334,0.5
breast_cancer,nest40_depth1,perimeter_worst,0.956140350877193,0.9649122807017544,0.9210526315789473,0.9385964912280702,0.7142857142857143,1.0
breast_cancer,nest40_depth2,radius_worst,0.9649122807017544,0.9649122807017544,0.9385964912280702,0.9473684210526315,0.5,0.6
breast_cancer,nest40_depth3,perimeter_worst,0.956140350877193,0.956140350877193,0.9210526315789473,0.9210526315789473,0.6153846153846154,0.5
breast_cancer,nest5_depth1,perimeter_worst,0.9385964912280702,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.75,1.0
breast_cancer,nest5_depth2,perimeter_worst,0.956140350877193,0.956140350877193,0.956140350877193,0.956140350877193,0.6,0.75
breast_cancer,nest5_depth3,perimeter_worst,0.9298245614035088,0.9385964912280702,0.9298245614035088,0.9385964912280702,0.7777777777777778,0.7142857142857143
compas,nest100_depth1,priors_count,0.6903039073806078,0.6287988422575976,0.6772793053545586,0.6295224312590448,0.6666666666666666,1.0
compas,nest100_depth2,priors_count,0.6837916063675832,0.630246020260492,0.6772793053545586,0.6295224312590448,0.6666666666666666,1.0
compas,nest100_depth3,priors_count,0.6837916063675832,0.630246020260492,0.6772793053545586,0.6164978292329957,0.6666666666666666,1.0
compas,nest10_depth1,priors_count,0.6751085383502171,0.5636758321273516,0.6751085383502171,0.5636758321273516,1.0,1.0
compas,nest10_depth2,priors_count,0.670767004341534,0.5636758321273516,0.670767004341534,0.5636758321273516,1.0,1.0
compas,nest10_depth3,priors_count,0.6736613603473227,0.6063675832127352,0.6743849493487699,0.6063675832127352,0.6666666666666666,1.0
compas,nest15_depth1,priors_count,0.6751085383502171,0.5636758321273516,0.6751085383502171,0.5636758321273516,1.0,1.0
compas,nest15_depth2,priors_count,0.6714905933429812,0.5636758321273516,0.6693198263386396,0.5636758321273516,1.0,1.0
compas,nest15_depth3,priors_count,0.6780028943560058,0.6063675832127352,0.6758321273516642,0.6063675832127352,0.6666666666666666,1.0
compas,nest200_depth1,priors_count,0.6808972503617945,0.605643994211288,0.6693198263386396,0.605643994211288,1.0,1.0
