dataset,param_tag,root_features_dropped,tgb_acc_baseline,tgb_acc_ablated,praxis_acc_baseline,praxis_acc_ablated,overlap_baseline,overlap_ablated
creditcard_fraud_oversampled,nest30_depth3,V14,0.9650806212286082,0.9597608291841153,0.9213462151438212,0.9318758861740364,0.2,0.42857142857142855
creditcard_fraud_oversampled,nest35_depth1,V14,0.9484837493542608,0.9367889999010782,0.9213462151438212,0.9247755025774612,0.2,0.75
creditcard_fraud_oversampled,nest35_depth2,V14,0.9606401336542795,0.9633989514294193,0.9213462151438212,0.9318758861740364,0.2,0.5
creditcard_fraud_oversampled,nest35_depth3,V14,0.9668502214748135,0.964827821193436,0.9213462151438212,0.9318758861740364,0.2,0.42857142857142855
creditcard_fraud_oversampled,nest40_depth1,V14,0.9541332805750651,0.9427572789923171,0.9213462151438212,0.9252151548125432,0.16666666666666666,0.75
creditcard_fraud_oversampled,nest40_depth2,V14,0.9640034732526571,0.9633989514294193,0.9213462151438212,0.9318758861740364,0.2,0.5
creditcard_fraud_oversampled,nest40_depth3,V14,0.9654433343225509,0.9668831953924446,0.9213462151438212,0.9318758861740364,0.2,0.42857142857142855
creditcard_fraud_oversampled,nest5_depth2,V14,0.9449665314736044,0.9062331695628758,0.9213462151438212,0.8959013420384476,0.25,0.6666666666666666
creditcard_fraud_oversampled,nest5_depth3,V14,0.9589804464668448,0.9501214539299414,0.9213462151438212,0.9182356755806157,0.16666666666666666,0.4
creditcard_fraud_smote,nest100_depth1,V14,0.9585847594552709,0.9468900100020884,0.9226541805431904,0.9239841285543136,0.25,0.4
creditcard_fraud_smote,nest100_depth2,V14,0.9634868818764357,0.9585188116200086,0.9226871544608215,0.9268198854705928,0.2,0.6
creditcard_fraud_smote,nest10_depth1,V14,0.9252041635066662,0.8801947659401413,0.9226541805431904,0.8801947659401413,0.5,1.0
creditcard_fraud_smote,nest10_depth2,V14,0.9373055912772996,0.9283256943757487,0.9226871544608215,0.9196205801211242,0.2,1.0
creditcard_fraud_smote,nest10_depth3,V14,0.9558918895153933,0.943372792121432,0.9227531022960838,0.9214341455908377,0.2,0.5
creditcard_fraud_smote,nest15_depth1,V14,0.9311834339037821,0.9039030127169408,0.9226541805431904,0.8988030467899891,0.3333333333333333,0.5
creditcard_fraud_smote,nest15_depth2,V14,0.9500994713181873,0.9407568613226938,0.9226871544608215,0.9206207889559359,0.2,0.5
creditcard_fraud_smote,nest15_depth3,V14,0.9579142897967707,0.9497587408359988,0.9227531022960838,0.9243798155658873,0.2,0.4
creditcard_fraud_smote,nest20_depth1,V14,0.9310955034567657,0.902441169035293,0.9226541805431904,0.8988030467899891,0.3333333333333333,0.5
creditcard_fraud_smote,nest20_depth2,V14,0.9535067761400732,0.945746914190875,0.9226871544608215,0.9266220419648058,0.2,0.6
creditcard_fraud_smote,nest20_depth3,V14,0.958837559490443,0.9495169321067036,0.9227531022960838,0.9243798155658873,0.2,0.4
creditcard_fraud_smote,nest25_depth1,V14,0.9439443400270386,0.9226981457666985,0.9226541805431904,0.9095085787142371,0.25,0.6666666666666666
creditcard_fraud_smote,nest25_depth2,V14,0.9553643068332949,0.9480660797309328,0.9226871544608215,0.9266220419648058,0.2,0.6
creditcard_fraud_smote,nest25_depth3,V14,0.9593981160901727,0.9497037843066135,0.9227531022960838,0.9268858333058551,0.2,0.4
creditcard_fraud_smote,nest30_depth1,V14,0.9440102878623009,0.92302788494301,0.9226541805431904,0.9188731713214847,0.25,1.0
creditcard_fraud_smote,nest30_depth2,V14,0.9559248634330245,0.9471867752607688,0.9226871544608215,0.9266220419648058,0.2,0.4
creditcard_fraud_smote,nest30_depth3,V14,0.9595849682900826,0.9531660456578847,0.9227531022960838,0.9268858333058551,0.2,0.4
creditcard_fraud_smote,nest35_depth1,V14,0.945527088073334,0.9239951198601906,0.9226541805431904,0.9198733801562964,0.25,1.0
creditcard_fraud_smote,nest35_depth2,V14,0.9574856288675657,0.9512865323529088,0.9226871544608215,0.9266220419648058,0.2,0.6
creditcard_fraud_smote,nest35_depth3,V14,0.9607170727954188,0.9529791934579748,0.9227531022960838,0.9268858333058551,0.2,0.3333333333333333
creditcard_fraud_smote,nest40_depth1,V14,0.9441202009210714,0.9233905980369528,0.9226541805431904,0.9095085787142371,0.25,0.6666666666666666
creditcard_fraud_smote,nest40_depth2,V14,0.9589914377727218,0.9510667062353678,0.9226871544608215,0.926655015882437,0.2,0.6
creditcard_fraud_smote,nest40_depth3,V14,0.9607830206306811,0.9561666721623197,0.9227531022960838,0.9266989811059452,0.2,0.3333333333333333
creditcard_fraud_smote,nest5_depth2,V14,0.9292929292929293,0.8467811960739056,0.9226871544608215,0.8467811960739056,0.5,1.0
creditcard_fraud_smote,nest5_depth3,V14,0.9524516107758763,0.934370912608127,0.9227531022960838,0.9094536221848518,0.25,0.6666666666666666
diabetes,nest100_depth1,number_inpatient,0.6333398840522747,0.6050899086174708,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.3333333333333333
diabetes,nest100_depth2,number_inpatient,0.6378598801218434,0.6122138154662474,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.25
diabetes,nest100_depth3,number_inpatient,0.6383020536503882,0.6111329468409158,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.25
diabetes,nest10_depth2,num_medications,0.7,0.6833333333333333,0.7333333333333333,0.7,0.46153846153846156,0.5
diabetes,nest10_depth3,num_medications,0.7333333333333333,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.35714285714285715,0.36363636363636365
diabetes,nest15_depth1,num_medications,0.6333333333333333,0.6166666666666667,0.6333333333333333,0.6166666666666667,0.6666666666666666,1.0
diabetes,nest15_depth2,num_medications,0.6833333333333333,0.6833333333333333,0.7333333333333333,0.7,0.46153846153846156,0.5
diabetes,nest15_depth3,num_medications,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.35714285714285715,0.3333333333333333
diabetes,nest200_depth1,number_inpatient,0.6368772722806328,0.6091677311584947,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.25
diabetes,nest200_depth2,number_inpatient,0.6378598801218434,0.6117225115456422,0.6155546821263633,0.5811142772919328,0.16666666666666666,0.25
