n_estimators,max_depth,Model,Feature,Threshold (≤),Train AUC,Test AUC,Train-Test gap
200,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
20,3,TGB,V14,-4.664211988449097,0.8498,0.8566,-0.0068
100,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
10,3,TGB,V14,-4.661453723907471,0.8511,0.8566,-0.0055
,,XGBoost,V16,2.461,0.8461,0.851,-0.0048
,,XGBoost,V7,2.3294,0.8326,0.8488,-0.0162
30,3,TGB,V17,-3.0691652297973633,0.8273,0.8467,-0.0195
10,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
200,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
30,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
30,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
30,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
20,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
200,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
30,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
15,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
10,3,TGB,V17,-3.0691652297973633,0.8273,0.8467,-0.0195
35,3,TGB,V17,-3.0691652297973633,0.8273,0.8467,-0.0195
35,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
40,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
5,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
100,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
100,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
100,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
40,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
5,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
5,3,TGB,V17,-3.0691652297973633,0.8273,0.8467,-0.0195
40,3,TGB,V17,-3.050985336303711,0.8273,0.8467,-0.0195
40,3,TGB,V17,-3.1761386394500732,0.8222,0.8467,-0.0245
40,2,TGB,V17,-3.16164493560791,0.8247,0.8467,-0.022
35,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
5,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
35,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
100,3,TGB,V17,-3.135411858558655,0.8247,0.8467,-0.022
10,2,TGB,V17,-3.0959043502807617,0.8247,0.8467,-0.022
