parameter,n_estimators,max_depth,feature,threshold,tree_count,total_binary_variables,importance
nest30_depth3,30,3,word_freq_your,0.605,1,79,0.021
nest30_depth3,30,3,word_freq_hp,0.385,2,79,0.0197
nest30_depth3,30,3,word_freq_free,0.215,2,79,0.0196
nest30_depth3,30,3,capital_run_length_longest,17.5,1,79,0.0183
nest30_depth3,30,3,word_freq_hp,0.23,2,79,0.0168
nest30_depth3,30,3,word_freq_free,0.115,2,79,0.0154
nest30_depth3,30,3,word_freq_edu,0.165,3,79,0.014
nest30_depth3,30,3,word_freq_money,0.01,3,79,0.0137
nest30_depth3,30,3,capital_run_length_average,2.3995,1,79,0.0131
nest30_depth3,30,3,word_freq_george,0.005,3,79,0.0122
nest30_depth3,30,3,capital_run_length_average,2.292,1,79,0.0092
nest30_depth3,30,3,word_freq_your,0.375,2,79,0.009
nest30_depth3,30,3,capital_run_length_total,68.5,1,79,0.0079
nest30_depth3,30,3,word_freq_hp,0.22,1,79,0.0073
nest30_depth3,30,3,word_freq_george,0.02,2,79,0.007
nest30_depth3,30,3,word_freq_george,0.025,1,79,0.0063
nest30_depth3,30,3,capital_run_length_average,2.7545,1,79,0.0058
nest30_depth3,30,3,word_freq_edu,0.49,2,79,0.0056
nest30_depth3,30,3,char_freq_$,0.0805,1,79,0.0052
nest30_depth3,30,3,word_freq_george,0.08,3,79,0.0052
nest30_depth3,30,3,char_freq_$,0.164,1,79,0.004
nest30_depth3,30,3,word_freq_1999,0.095,1,79,0.0023
nest30_depth3,30,3,word_freq_free,0.63,1,79,0.0022
nest30_depth3,30,3,word_freq_email,0.285,2,79,0.002
nest30_depth3,30,3,word_freq_meeting,0.46,1,79,0.0017
nest30_depth3,30,3,word_freq_free,0.105,1,79,0.0015
nest35_depth1,35,1,char_freq_!,0.0795,3,20,0.2042
nest35_depth1,35,1,word_freq_remove,0.01,2,20,0.1433
nest35_depth1,35,1,char_freq_$,0.0555,1,20,0.1327
nest35_depth1,35,1,word_freq_free,0.135,1,20,0.0761
nest35_depth1,35,1,char_freq_$,0.0445,1,20,0.0753
nest35_depth1,35,1,word_freq_your,0.605,1,20,0.0646
nest35_depth1,35,1,char_freq_$,0.0295,1,20,0.0525
nest35_depth2,35,2,char_freq_!,0.0795,4,33,0.1817
nest35_depth2,35,2,char_freq_$,0.0555,2,33,0.1436
nest35_depth2,35,2,word_freq_remove,0.055,3,33,0.0816
nest35_depth2,35,2,word_freq_remove,0.045,2,33,0.0473
nest35_depth2,35,2,word_freq_free,0.025,1,33,0.046
nest35_depth2,35,2,char_freq_$,0.0395,1,33,0.0423
nest35_depth2,35,2,char_freq_$,0.0295,2,33,0.0407
nest35_depth2,35,2,word_freq_hp,0.385,4,33,0.0394
nest35_depth2,35,2,word_freq_hp,0.12,2,33,0.038
nest35_depth2,35,2,capital_run_length_longest,17.5,1,33,0.0218
nest35_depth2,35,2,word_freq_free,0.195,1,33,0.0204
nest35_depth2,35,2,word_freq_your,0.605,1,33,0.02
nest35_depth2,35,2,capital_run_length_average,2.3995,1,33,0.0159
nest35_depth2,35,2,word_freq_money,0.01,1,33,0.0154
nest35_depth2,35,2,word_freq_hp,0.22,1,33,0.0127
nest35_depth2,35,2,capital_run_length_total,68.5,1,33,0.0114
nest35_depth2,35,2,capital_run_length_average,3.741,1,33,0.0113
nest35_depth2,35,2,char_freq_$,0.0805,1,33,0.0089
nest35_depth3,35,3,char_freq_!,0.0795,5,120,0.1593
nest35_depth3,35,3,char_freq_$,0.0555,2,120,0.1226
nest35_depth3,35,3,word_freq_remove,0.055,4,120,0.1006
nest35_depth3,35,3,char_freq_$,0.0445,1,120,0.0637
nest35_depth3,35,3,char_freq_$,0.0295,2,120,0.0478
nest35_depth3,35,3,word_freq_remove,0.045,6,120,0.0375
nest35_depth3,35,3,char_freq_!,0.5065,2,120,0.037
nest35_depth3,35,3,word_freq_hp,0.385,4,120,0.0322
nest35_depth3,35,3,word_freq_your,0.605,1,120,0.0206
nest35_depth3,35,3,word_freq_free,0.215,2,120,0.0192
nest35_depth3,35,3,capital_run_length_longest,17.5,1,120,0.018
nest35_depth3,35,3,word_freq_hp,0.23,2,120,0.016
nest35_depth3,35,3,word_freq_free,0.115,2,120,0.0151
nest35_depth3,35,3,word_freq_money,0.01,3,120,0.0135
nest35_depth3,35,3,capital_run_length_average,2.3995,1,120,0.0128
nest35_depth3,35,3,word_freq_george,0.005,2,120,0.0094
nest35_depth3,35,3,capital_run_length_average,2.292,1,120,0.0091
nest35_depth3,35,3,word_freq_your,0.375,2,120,0.0089
nest35_depth3,35,3,word_freq_hp,0.22,1,120,0.0085
nest35_depth3,35,3,word_freq_hp,0.39,2,120,0.0082
nest35_depth3,35,3,capital_run_length_total,68.5,1,120,0.0078
nest35_depth3,35,3,word_freq_george,0.02,3,120,0.0073
nest35_depth3,35,3,word_freq_edu,0.49,2,120,0.0061
nest35_depth3,35,3,capital_run_length_average,2.7545,1,120,0.0057
nest35_depth3,35,3,word_freq_george,0.04,1,120,0.0056
nest35_depth3,35,3,char_freq_$,0.0805,1,120,0.0051
nest35_depth3,35,3,word_freq_remove,0.065,2,120,0.0045
nest35_depth3,35,3,char_freq_$,0.164,1,120,0.0038
nest35_depth3,35,3,word_freq_george,0.14,2,120,0.0033
nest35_depth3,35,3,word_freq_edu,0.175,1,120,0.0028
nest35_depth3,35,3,word_freq_meeting,0.465,1,120,0.0026
nest35_depth3,35,3,word_freq_edu,0.2,1,120,0.0025
nest35_depth3,35,3,word_freq_1999,0.065,1,120,0.0021
nest35_depth3,35,3,word_freq_free,0.63,1,120,0.0021
nest35_depth3,35,3,word_freq_edu,0.185,1,120,0.0017
nest35_depth3,35,3,word_freq_free,0.105,1,120,0.0015
nest35_depth3,35,3,word_freq_george,0.08,1,120,0.0012
nest35_depth3,35,3,char_freq_!,0.59,1,120,0.0009
nest35_depth3,35,3,word_freq_email,0.285,1,120,0.0008
nest40_depth1,40,1,char_freq_!,0.0795,3,20,0.1979
nest40_depth1,40,1,word_freq_remove,0.01,2,20,0.1389
nest40_depth1,40,1,char_freq_$,0.0555,1,20,0.1287
nest40_depth1,40,1,word_freq_free,0.135,1,20,0.0737
nest40_depth1,40,1,char_freq_$,0.0445,1,20,0.073
nest40_depth1,40,1,word_freq_your,0.605,1,20,0.0626
nest40_depth1,40,1,char_freq_$,0.0295,1,20,0.0509
nest40_depth2,40,2,char_freq_!,0.0795,4,51,0.1782
nest40_depth2,40,2,char_freq_$,0.0555,2,51,0.1411
nest40_depth2,40,2,word_freq_remove,0.055,3,51,0.0802
nest40_depth2,40,2,word_freq_free,0.025,1,51,0.0462
nest40_depth2,40,2,word_freq_remove,0.045,2,51,0.0455
nest40_depth2,40,2,char_freq_$,0.0395,1,51,0.0415
nest40_depth2,40,2,char_freq_$,0.0295,2,51,0.04
nest40_depth2,40,2,word_freq_hp,0.12,2,51,0.0395
nest40_depth2,40,2,word_freq_hp,0.385,3,51,0.029
nest40_depth2,40,2,capital_run_length_longest,17.5,1,51,0.0214
nest40_depth2,40,2,word_freq_free,0.195,1,51,0.02
nest40_depth2,40,2,word_freq_your,0.605,1,51,0.0197
nest40_depth2,40,2,capital_run_length_average,2.3995,1,51,0.0156
nest40_depth2,40,2,word_freq_money,0.01,1,51,0.0142
nest40_depth2,40,2,word_freq_hp,0.22,1,51,0.012
nest40_depth2,40,2,capital_run_length_total,68.5,1,51,0.0112
nest40_depth2,40,2,capital_run_length_average,3.741,1,51,0.0111
nest40_depth2,40,2,word_freq_hp,0.4,1,51,0.0098
nest40_depth2,40,2,char_freq_$,0.0805,1,51,0.0088
nest40_depth3,40,3,char_freq_!,0.0795,5,154,0.1577
nest40_depth3,40,3,char_freq_$,0.0555,2,154,0.1214
nest40_depth3,40,3,word_freq_remove,0.06,3,154,0.0636
nest40_depth3,40,3,char_freq_$,0.0445,1,154,0.0631
nest40_depth3,40,3,char_freq_$,0.0295,2,154,0.0473
nest40_depth3,40,3,word_freq_remove,0.045,4,154,0.042
nest40_depth3,40,3,char_freq_!,0.5085,3,154,0.0367
nest40_depth3,40,3,word_freq_remove,0.055,3,154,0.0235
nest40_depth3,40,3,word_freq_hp,0.385,3,154,0.0235
