split,nest5_depth1,nest5_depth2,nest5_depth3,nest10_depth1,nest10_depth2,nest10_depth3,nest15_depth1,nest15_depth2,nest15_depth3,nest20_depth1,nest20_depth2,nest20_depth3,nest25_depth1,nest25_depth2,nest25_depth3,nest30_depth1,nest30_depth2,nest30_depth3,nest35_depth1,nest35_depth2,nest35_depth3,nest40_depth1,nest40_depth2,nest40_depth3,nest100_depth1,nest100_depth2,nest100_depth3,nest200_depth1,nest200_depth2,nest200_depth3
number_inpatient <= 1.5,,,0.0324,,0.0657,0.0363,0.214,0.0684,0.0512,0.215,0.0749,,0.1786,0.0676,0.0172,0.1767,0.071,,0.1209,0.0685,0.0147,0.2252,0.1098,0.0641,0.1604,0.0941,0.0545,0.1414,0.0857,0.0503
number_inpatient <= 2,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,,,
number_inpatient <= 2.5,,,,,,,,,,,,,,,,,,,,,,,0.0232,0.0203,,0.0203,0.0044,,0.0185,0.0169
number_inpatient <= 3.5,,,,,,,,,,,,,,,,,,,,,,,0.0059,0.0082,,0.0068,0.0069,,0.0062,0.0066
number_inpatient <= 4.5,,,,,,,,,,,,,,,,,,,,,,,,0.0039,,,0.0039,,,0.0016
number_outpatient <= 0.5,,,,,,,,,,,,,,,,,,,,,,,0.0496,0.0406,,0.0457,0.0364,,0.0421,0.0335
race_? <= 0.5,,,0.0262,,0.0454,0.0397,,0.0358,0.04,,0.0515,0.0386,,0.0463,0.0436,,0.0494,0.041,,0.0464,0.0373,,,,,,,,,
race_AfricanAmerican <= 0.5,,,0.0231,,,0.0199,,,0.0192,,,0.0151,,,0.0108,,,0.0082,,,0.0077,,,,,,,,,
repaglinide_No <= 0.5,,,,,,0.0102,,,0.0135,,,,,,0.0147,,,0.006,,,0.0059,,,,,,,,,
time_in_hospital <= 7.5,,,0.0495,,0.1254,0.0825,0.2208,0.1159,0.0806,0.2408,0.1123,0.0797,0.2056,0.1104,0.0765,0.162,0.11,0.0716,0.1459,0.1093,0.0705,,,,,,,,,
